node,Green LED,Yellow LED,Red LED,Idle,TRX_OFF,PLL_ON,RX_ON,TX TX_PWR 0,TX TX_PWR 1,TX TX_PWR 2,TX TX_PWR 3,TX TX_PWR 4,TX TX_PWR 5,TX TX_PWR 6,TX TX_PWR 7,TX TX_PWR 8,TX TX_PWR 9,TX TX_PWR 10,TX TX_PWR 11,TX TX_PWR 12,TX TX_PWR 13,TX TX_PWR 14,TX TX_PWR 15
1,127.9583307281229,127.94350126835779,128.34846773547096,120.29261515353805,122.56168538050736,140.4282005610098,161.8426886395512,164.7347650200267,164.34506847027387,162.72713658210947,162.0069413493654,160.64809319092123,160.13433567134268,158.30835598878355,156.89417110621537,156.49925303941217,154.95015427236316,153.02639525718104,151.59638905206947,151.5398179692719,149.2656842456609,146.99051849873112,146.55061791224205
10,131.39257492016705,131.60603598624417,131.99599533284206,123.29037171456645,126.35367882584131,144.1093703248787,162.05729771554903,168.0858696800344,167.21984051830017,166.39658038565463,165.42789038319825,164.53835943257184,163.4287458855318,162.58534672070746,160.67535286170474,159.87298169982805,158.81652966101694,157.73971579464504,155.61008671088186,154.47465653402114,153.6105913166298,151.93659567673794,149.5332313927782
11,134.96978351130468,135.2242867199618,135.6479909324107,126.95038877289267,129.6811420986697,147.13541952034365,163.92630686631267,173.06569707093004,172.330173715922,171.39825735250253,170.39413028694148,169.1565419674283,167.9956005488278,166.73748490633574,165.39090025651734,164.0252926683768,162.67347040925904,161.16010189106962,159.63978488337412,158.08792041997256,156.50534081011753,154.96494374515302,153.34008405416688
12,134.5679184467181,134.49975186980194,134.34910679669738,126.54090402680545,131.5012505833782,149.67884001435925,165.08342539188706,173.3801271987555,171.8187231063779,170.650740576762,170.11318535359578,168.8313437836544,167.34546751226517,166.19166341609332,164.87615370348212,163.61173080835277,161.95263168601173,160.59455124753183,159.3145291372502,157.56449350804766,155.62473178173985,154.3752497457069,148.72430604918327
13,132.4185135754382,133.7114075550377,133.64137985161568,124.99979697081187,128.16096946284034,146.05197007603633,168.64795259995094,170.6105280230562,169.73973391794934,168.78221573557363,167.07477274957074,166.30512700067456,165.7391574170602,164.41831309786608,163.07246909492272,161.97618383615404,160.63751321518367,159.428646492519,158.1161497424577,156.68212509965045,155.2952288587723,153.8483823276919,152.1154751655629
14,132.04438196270252,131.92048773925274,132.75385760577157,124.15149645346706,126.87248318659819,144.9390385226856,167.0991187549685,170.0058872584984,168.5424779258897,167.92959386082916,166.8439880784985,165.46332134776495,164.90364938241407,163.59653848505226,161.99280505106097,161.1492057600587,159.71444356810957,158.15750816363968,156.79509336594316,155.81008009293225,154.07259803082192,152.45822036074594,150.96671191000246
15,125.9315638549827,126.15666494720232,126.48942982935569,118.85050873892463,124.03376744750575,141.3330162710218,155.18529119611415,162.72520469717196,162.72200431165356,161.42120299793663,160.02840881763527,159.0667420196626,158.36679097589118,156.96553499241276,155.429188869333,154.20824631080342,153.33594137638062,151.3937569684824,149.66805243354779,148.97035622760674,147.386743536837,145.79604856726567,140.17605057680632
16,131.52228894579602,132.2564948478751,132.15985610633496,123.97339240429166,126.74605822815683,143.44981543808305,159.78244527772694,168.4825489909152,167.50931735869764,167.33120776687193,165.9145202731541,164.82631346013167,163.42795585635025,162.93438796414853,161.0050873727212,159.61490366441072,158.1331099323212,157.74401121882812,155.5647558671137,154.11537839156148,152.42086287421498,151.50981818181816,149.50732479726844
17,132.71460780329204,133.0382215824414,125.8592696294289,123.96923626634153,142.34600670686265,162.66614693131012,168.75392623450517,169.8803454582402,169.39812856465488,167.81839829302984,167.01041119089555,165.34687338256217,164.37747307457835,163.64075450480965,162.34592290495223,160.6873658718331,159.7137997696945,158.19585442351982,156.78257542504912,155.01737404321617,153.03630551415796,152.4053523235334,127.62350223546945
18,130.47273350810875,130.74275678312296,131.10885952932568,122.52435747820253,125.18270020120725,143.03905499664654,166.85796213876355,171.28771971221266,170.30026297177002,169.11177880746249,168.172376989208,167.01695597829402,165.76790463996096,164.55311578562282,163.02380196329494,161.4934805804524,160.09941204804585,158.6054250701134,156.74818815925858,155.25349743933666,153.3937593586148,151.5138598256204,149.9026562614315
