node,Green LED,Yellow LED,Red LED,Idle,TRX_OFF,PLL_ON,RX_ON,TX TX_PWR 0,TX TX_PWR 1,TX TX_PWR 2,TX TX_PWR 3,TX TX_PWR 4,TX TX_PWR 5,TX TX_PWR 6,TX TX_PWR 7,TX TX_PWR 8,TX TX_PWR 9,TX TX_PWR 10,TX TX_PWR 11,TX TX_PWR 12,TX TX_PWR 13,TX TX_PWR 14,TX TX_PWR 15
1,131.0475852310784,131.2327329202947,131.56875138121546,123.54458563535913,126.16115505693237,142.9673602879625,164.1494569658406,166.7874434957308,165.55426100786875,164.60511618951952,163.7882949941403,162.5114569658406,161.43789718687208,160.45610281312796,159.08863837267705,157.87933266354096,156.71602209821427,155.4916984375,154.29501361911142,152.92907747265014,151.5793194909578,150.21040334821427,148.81202388926098
2,128.5034282851895,128.86280166944908,129.40107978634617,120.68465776293824,123.53000033388982,140.55623843713474,163.35727128547578,168.13853823038397,167.0376850275413,165.905754965782,164.79983452997163,163.50669616026713,162.235154950743,160.90183171953254,159.4297093974295,158.07654818606724,156.4986289784109,155.09938504340084,153.542249332146,151.9536080569775,150.50615557533942,148.72813866013797,146.88232339194303
3,127.7853287006028,127.9961160415271,128.85927774987445,120.42612857860372,122.5390902545211,141.34444483509122,163.3791977561956,166.00724476812323,165.33174317763266,164.35870232713881,163.13808103130756,162.13426858673813,160.76117900200938,159.99058405894172,157.72549539594843,156.98302947086404,155.52898125,154.5607892857143,152.6398258539853,151.7388615762447,150.32785443179282,148.5255799107143,147.13110984594775
4,130.32793535146232,130.3088536001368,131.33978505471956,123.46914141586868,125.87129463064295,143.24611783820762,165.85070566102274,168.74945432774547,167.3855165925419,166.15172147134302,164.62460520013687,163.58322241231824,163.13951881628464,161.35278053369825,160.52236121087736,159.41951676168756,157.099349749202,156.082768125855,155.65767783857729,153.709939124487,152.188503875969,150.70169151846784,148.9077313568985
5,129.5080215888008,130.146570994941,130.18995008431705,121.81348136907773,124.68526492411466,140.70327803068622,161.45341585160202,167.78590472175378,166.00754376792037,165.47998077571668,164.39673322091065,162.45266908416258,161.55469139966274,160.18227774030353,158.98981672567862,157.14749797661867,156.23281920395772,154.50977810251794,153.32318030575541,151.7090407015966,150.3546815830897,148.3055768884892,147.16360678956835
6,131.0573172436751,131.15187914100215,131.45222390544365,122.98494972532045,125.54433405459386,142.90817929082735,164.4819054593875,169.51027701015482,168.1760066577896,167.14701598135508,166.1668062260696,164.79069107856193,163.6998080572665,162.42481990679096,161.0087905776594,159.56868686196182,158.00460710321866,156.83865246338218,155.30031047492233,153.83867014428412,152.19342121615625,150.58108679245282,149.34138592987128
7,133.6854326987308,133.63849716288385,133.9451873747495,125.12763417890521,127.85866505340454,145.02977905811622,167.4906908696378,172.24329272363153,171.07734619238477,169.83369843124166,168.61829742818972,167.2833009012016,165.84512424849697,164.46385347129504,163.13648673009516,161.797957247829,160.39876746773476,158.83288131819194,157.4956484201157,156.09322088621684,154.32197863818425,152.8181429525718,151.41799132176237
8,127.61686355960825,127.47772610604524,128.1990496537747,119.37758172914558,122.9567200270179,140.06422070246538,161.8892426545086,167.22885477879095,166.67050320837555,164.55031273218506,163.61354559270518,162.20987335359678,161.29779956095913,159.57396960486324,157.76260672070248,156.3831222697591,155.36526316974337,154.36184331382262,152.43676418918918,151.02008847366054,149.36385254389913,147.32343085585586,145.35763755065287
9,131.14928360988824,130.95329077053344,131.53909585097372,123.46490264138164,125.4779837398374,142.647010501355,162.83429077053347,166.78701896697714,166.32586570702796,165.1850121909922,163.4503017781541,162.45176037256562,162.06057196071794,160.39375884843355,158.78454200542006,157.30601851851853,157.092929765131,155.1566086269196,153.2216491307293,152.0712625874915,151.52699661323098,149.44417791826598,148.14131316324227
11,130.70030162254483,130.3510900085397,129.85662869342443,121.73488503587292,125.04733287788214,142.14822732707088,162.94039289374788,167.20947164332082,166.67892705842158,165.51517731465665,164.80385104202253,163.09056422958662,161.41954953877692,160.79188366928597,160.48054492654595,158.29442450466863,157.28626098838535,155.61979139148255,153.78891095422455,151.7857793213391,151.33264806378133,149.86643270325666,148.28282509678888
