node,Green LED,Yellow LED,Red LED,Idle,TRX_OFF,PLL_ON,RX_ON,TX TX_PWR 0,TX TX_PWR 1,TX TX_PWR 2,TX TX_PWR 3,TX TX_PWR 4,TX TX_PWR 5,TX TX_PWR 6,TX TX_PWR 7,TX TX_PWR 8,TX TX_PWR 9,TX TX_PWR 10,TX TX_PWR 11,TX TX_PWR 12,TX TX_PWR 13,TX TX_PWR 14,TX TX_PWR 15
1,132.14079218592119,131.52447844392051,132.72678123947458,124.4598176153587,126.97221960255978,144.06312394745706,167.0497660828562,168.60688480970023,168.65901296732906,166.78942842707983,166.11762596833952,165.04989878747054,163.87496025597844,162.3835412596834,160.89719770966653,159.9154874270319,158.1714187247418,157.763983610238,156.06275909295016,154.71719892231704,153.64166636731028,151.6516641221374,150.27753704535252
2,133.0636351780639,132.8704203310483,133.0929182410968,124.57335679652233,127.28144215981277,144.82707840187228,169.55922233366766,170.35832932129725,170.13676496155134,167.93409010364428,167.87886308926778,165.4885864259445,165.21576128385158,163.51793830463131,163.62833288747703,160.90644214046824,161.18885172798218,158.53755696766999,158.7035831475702,155.533036558181,154.86977530093625,154.0769589835042,152.24676437806508
3,131.87043646408839,131.337947095262,132.4126909425749,123.7092635191696,126.27678888330823,143.6274935543278,166.44082337183994,171.84974133601204,171.00007868742676,169.6492060940901,167.84659594775616,167.18307550644568,165.41501557267247,164.67270919136112,162.32675083724047,161.43957254464286,159.34689997767356,158.35103928571428,156.58078169642855,155.42005379464285,153.28896629464285,151.5462976110739,150.14787745535716
4,132.62071596858638,132.4178204121688,133.16301308258383,124.58877056418642,128.0228483559627,144.5205070353403,166.92477245215116,171.93892378148513,169.65246868356502,168.84844775143094,168.29183543268442,166.0955477748691,166.25762761780106,164.2803436937674,162.49178606476937,162.42340689053643,159.94391646673938,158.3790818062827,158.1032892670157,155.37833914940023,153.76148996947228,153.33359995639853,150.68286524204103
5,131.46514666368117,131.6741410342512,131.5773682561003,123.81593261696888,126.6986490481523,143.71699686590551,166.32666218938886,169.64056314375281,168.38824334004926,167.45715312290127,166.13036803223642,165.08677188269533,163.3667668533035,162.59845153346762,161.12392455786883,159.75500503693758,158.58452719946274,157.16969106783074,155.91554768300875,154.23999395567495,153.386731944911,151.31765580926796,151.06868368032238
6,129.4357593871022,129.53734332379187,130.41653688110475,121.93010761199056,124.77426002020883,142.678590097676,165.2980611214009,168.00530964808888,167.40084898989895,166.6644351851852,164.86721582491583,163.9570079137902,163.010022562721,161.4321916470192,160.30315695520378,159.0654854063763,157.69348114054782,156.38191805118996,155.1493310886644,153.7327977553311,151.88649270482605,150.56120565783564,149.03270273911093
7,128.1621212375988,128.1517017484869,128.81520749957963,121.00754253530597,123.17721200403496,140.63515486800065,163.3614332548756,166.1125709720821,164.90758792871551,163.4924410627207,162.97872343644923,161.551535732302,160.23838668459985,159.44466924499747,158.19341593813047,156.89525442725846,155.98543228699555,153.41627751625194,152.42691591928252,151.904722932078,149.25331031390135,147.88431136516476,147.45729125560538
8,131.96581586464515,134.15016739894554,133.23805976708417,123.94073490006588,127.25836555360281,144.1140476818282,166.78611994727592,171.47009536365636,172.70138348341752,170.2966769940672,167.92273835676625,168.21417029224344,166.3601537785589,164.94263722258844,163.88407734563833,162.45707119314437,159.89190606460122,158.26670016474463,158.1428450889914,155.3642355848435,154.19272247857612,153.1654644268775,150.42689189189193
10,134.1955241623169,134.4804867822866,134.82465409228698,126.59390299764232,129.372379925901,146.12877484001348,168.90425930291295,174.76830122916317,173.655114983165,171.95798282828284,171.12528855218855,169.54128893753156,168.06608620979964,167.11526793533176,165.75722398113842,163.49451526717556,162.28395958688822,161.44203637180067,158.72965117845118,157.73109494949495,156.51974410774412,153.5732209250112,152.5402247418051
11,125.36036632670123,126.89657087930456,126.23624991641591,119.39596322300234,120.79154071225548,139.3250961377696,162.3081461294098,166.9715671292426,164.9259154129054,164.1074796856713,163.2006304965725,161.8837669286073,160.59778097308146,159.29679501755558,157.69309495152123,156.27327195720017,154.25119014712442,153.49148551047702,151.8533644672314,150.22669928666966,148.24352507243145,146.55404969913081,145.05494160909294
