node,Green LED,Yellow LED,Red LED,Idle,TRX_OFF,PLL_ON,RX_ON,TX TX_PWR 0,TX TX_PWR 1,TX TX_PWR 2,TX TX_PWR 3,TX TX_PWR 4,TX TX_PWR 5,TX TX_PWR 6,TX TX_PWR 7,TX TX_PWR 8,TX TX_PWR 9,TX TX_PWR 10,TX TX_PWR 11,TX TX_PWR 12,TX TX_PWR 13,TX TX_PWR 14,TX TX_PWR 15
1,133.06298750000002,133.11922299107147,133.63025223214288,125.26096405447646,127.8476828125,145.0347718240679,166.89604910714286,170.41871830357144,169.69223772321428,168.37098839285716,167.23784661754857,166.08456049107144,164.8496552801965,163.63640611743693,162.2143507479348,160.98490622906897,159.7064681848627,158.55062269835958,156.9956443402545,155.60541747572816,153.91306293940409,152.53660951105158,151.26464479410782
2,131.4528680885972,131.68191944216574,132.05178166010498,123.71843848425196,126.31070324803149,144.09953658136484,167.47602625102542,169.8038241469816,168.8101112204724,167.466810828548,166.338593503937,165.20917962598423,164.06578392124692,162.82045849737534,161.55739304461943,160.2282539370079,158.85952023627215,157.45595341207348,156.19113867016623,154.7815302997156,153.23693153980753,151.75990157480317,150.30124567928243
3,133.78197856353594,133.90918121546963,134.38417613259668,125.81485281767954,128.50448066298344,145.57793988950277,169.84571513812153,173.37289392265194,172.29948154696132,171.14541060773482,169.98782099447513,168.67199823243482,167.45977502762432,166.0521785635359,164.56595867403314,163.10933377527346,161.65349917136228,160.21873748757042,158.80895159151194,157.31240152519894,155.5533128936029,153.91349983427244,152.2756244613855
4,135.51792972375694,135.67131359116024,136.06912530386742,127.61452839779005,130.2398338121547,147.30573127071824,169.30949966850827,173.18054430939227,172.20207226519338,171.00870320441987,169.90942850828728,168.73842752982765,167.54670187845304,166.22263359116022,164.86546254143647,163.5448196884322,162.17617500828638,160.82649685117667,159.52573408488064,158.11025033156497,156.52330957905204,155.07860722572093,153.58443155452437
5,129.81874928398327,129.94233399427188,130.40617713152676,122.31918021590657,124.81885966071823,141.48992309387395,163.17018862935214,166.43099691494052,165.39777589246364,164.2954747630593,163.2069360951961,162.01847454264933,160.79032327016307,159.61830945558742,158.27931357426178,156.9131480502313,155.68735624586915,154.35822141440846,152.99685426305354,151.67461731658958,150.10580039656313,148.7630912095175,147.23701123595507
6,130.4127116302865,130.6143938256865,131.08490924599116,122.62320787858118,125.260602080846,142.28959157571626,166.14157096554078,170.17823721009552,169.05460566263005,167.91968139177894,166.77480457025922,165.5814083930399,164.23581289442265,162.93137772851296,161.48786866791744,160.07830877671668,158.55152876961563,157.10531839890834,155.61916894042747,154.02486422560835,152.29128564930633,150.68738062755799,149.07346076870593
7,133.67718234507356,133.68723049487295,134.26084061524745,125.78643312527862,128.53826192599197,147.08839411502453,169.84875791350868,173.59249554168525,172.67297280428,171.40099866250557,170.28892019616583,169.0565891662951,167.82098417298263,166.69948606466,165.20645997770345,163.70702742474916,162.4206260869565,161.05903879598662,159.6271808759612,158.22414209294553,156.65800133734535,155.24931929120694,153.6514807756603
8,131.27963107445387,131.38645853767275,131.80621399910837,123.65612394115023,126.33137293802946,143.83731542576905,166.3095606330807,170.32831787784218,169.40624743646902,168.26319995541687,167.35051092287117,165.83289077128842,164.704022960321,163.46767045707912,162.13336499442585,160.61586822742473,159.40855217391305,157.93949565217392,156.62042326980944,155.00242661317284,153.48561952524236,151.85200200601807,150.402370110331
9,129.27998572867696,129.30151066330814,129.8805018474975,121.50517595701812,124.26043838146406,140.9315800873069,161.4674395567495,169.73426150487066,168.33071985220022,167.23124177300204,165.97074462726664,164.76816773002014,163.1651737743452,162.0719150293871,160.28599596909643,159.05541280501453,157.2570801432729,155.76695701813296,154.44410655921197,152.88993797581728,151.28540976265114,149.36077205553067,147.77653951197672
10,132.53250131795718,132.8327258649094,133.1751977261493,124.64600609756098,127.49236865524061,144.88704217462933,168.1301489291598,170.8607716262976,169.84494166117338,168.8424785761371,167.4795997033619,166.23736200362498,165.16304118616145,163.89910016474462,162.70027406064602,161.4341081081081,160.02936849044164,158.66040188969458,157.45728838128707,155.9734031195079,154.43352262741652,152.8455743792573,151.36025225225228
11,128.8730295147574,129.31401817878586,129.6315225,121.432051,124.05921733333332,141.12506367727954,164.03718845897268,165.72558352784262,164.62439333333333,163.4282486666667,162.47789716666665,162.41593583333332,160.52450300200135,159.04854093713524,158.1205451666667,156.44560933333332,155.35931644444443,154.04491688888888,153.67876522899064,151.38680831665556,149.802218,148.72027555555556,147.47974844444445
12,130.25867602209945,130.5240249723757,130.63353269995582,122.46042961325968,125.17163499779055,142.69446519337018,165.17754342541437,168.13083296509063,167.2376950276243,165.92810806629834,165.07473486522315,163.9029513812155,162.813568839779,161.52327574016795,159.98102496685814,158.6187970822281,157.51609844216108,156.53095361166336,155.25271518567638,153.4967606894266,152.07194333996023,150.44989622015913,149.0027596153846
