node,Green LED,Yellow LED,Red LED,Idle,TRX_OFF,PLL_ON,RX_ON,TX TX_PWR 0,TX TX_PWR 1,TX TX_PWR 2,TX TX_PWR 3,TX TX_PWR 4,TX TX_PWR 5,TX TX_PWR 6,TX TX_PWR 7,TX TX_PWR 8,TX TX_PWR 9,TX TX_PWR 10,TX TX_PWR 11,TX TX_PWR 12,TX TX_PWR 13,TX TX_PWR 14,TX TX_PWR 15
1,131.44942147435899,131.3502556701031,132.01479624542122,123.80305337915233,126.08877358058606,143.6830449026346,166.9579120879121,170.75489697802197,169.9867587628866,168.56679006410258,167.4352689576174,166.23918258877433,165.13635554029304,163.7667624284078,162.3931662386178,160.59929601648352,159.4678594501718,158.3071820054945,156.7114085910653,155.01698831615118,153.67167925824177,152.09952130584193,150.4918753434066
2,133.14664181091877,133.46267147613761,133.6098723923657,125.32603662597114,127.78784509542831,144.8012357380688,166.89601264980024,170.2888366259711,169.17582512205945,167.98478557158714,166.769707057257,166.1002223701731,164.57090410654828,163.32042498890368,162.21093895671476,160.594664114514,159.30396736596737,158.01431857523303,156.39338182423435,155.9432586551265,153.67563015978695,152.5431888111888,151.08661118508655
3,130.56419832525341,130.80822322609077,131.36599581405596,123.23048865388854,125.83847113265756,142.1819242123816,164.5818499669531,168.6952023363456,167.60552710445128,166.3883260630095,165.14312516527104,163.94428162185983,162.94883891582197,161.54232099581407,159.80852225650065,158.5763381818182,157.2886747107438,155.5765214805023,154.2040105750165,153.07199900826447,151.40670809917356,150.02891804362196,148.1487161269002
4,131.82226181900046,132.00444877279892,132.17457532087369,123.74803039171542,126.46679941467809,144.98271274200812,168.67527403737898,170.9929254840162,170.00608194506975,168.90954312091873,167.79022850067534,166.79643899144529,165.24631344291825,163.80998469158038,162.5020220621342,161.68260574324324,160.20661681296423,158.80230192502535,157.33239358108108,155.8383058744092,154.28978892266127,152.6890364864865,150.9636019581364
5,128.36469924977936,128.62163150926744,129.03033127344958,120.77929920564873,123.42067586054723,141.12066835834068,164.46700750386228,168.2622180052957,167.2295685279188,165.9694567519859,164.97114872021183,163.7128336275375,162.38038195057374,161.1501796512911,159.90725750220656,158.27005823957643,156.94797584381203,155.71746772591857,154.13193543046359,152.6970986428335,151.0484636002647,149.49631833223032,148.02471234690498
6,132.720714092751,132.5760659612787,132.4633891015537,124.86559446070704,127.4656952702703,144.78260833333334,167.12924926818283,169.62545124971854,168.29054885186852,167.28479491220168,165.87494799639802,164.61324043223772,164.0118748029723,162.75454019365006,161.18737815315316,159.79706148648648,158.87650574324326,157.29513880445793,156.1064802431611,154.5300935178933,153.60568703578664,151.72049510300573,150.7498172914556
7,130.1495200438116,130.2971406044678,130.95890010952905,122.284245398773,124.96652201533404,143.45289813800656,166.88121401971523,170.62679194042926,169.56589660460025,168.20043680175246,167.10194107338447,166.0604635268346,164.51145137976349,163.23581730558595,161.95514720700984,160.63040683535985,159.19914065067368,157.8876894511995,156.20132194480945,154.73279007884364,153.04691422937887,151.40274334538285,149.9136770696452
8,128.2592122523343,127.32572557503983,128.14921316328855,120.20483534502391,122.66826867030964,140.10141598360656,161.81200341607834,164.09535071737645,163.72383671145525,162.89554680027328,161.09851947164654,160.51111865178774,159.27318925074013,157.9268806649966,156.56025529492143,155.06627912538437,154.2852760505637,152.46645917321487,151.07704612230955,149.97973112401777,148.93659022556392,146.8788278100444,145.79273829859923
9,133.28941382167716,133.19763556513092,133.91443486907525,125.35065462379849,128.014936029168,145.61802071937677,168.9327502485913,172.09989161418628,170.9892459804409,169.83088597944982,169.035315048061,167.80464511851483,166.38513075903217,165.02792194232683,163.67192050768205,162.64351016799293,161.39533561643836,159.7466767565179,158.28036074270557,156.87939262041536,155.22088223596998,153.79276790450928,152.11570740331493
10,129.7764834320825,129.7070063596491,130.04331395348837,121.77435037297062,124.42560355419043,141.78562878455463,163.57935131578947,166.60020276497698,165.29501338306275,164.49180394736842,163.2271138907176,162.18389139973675,160.73948716823867,159.55190849242922,158.27086926957665,156.73450624999998,155.90348255431206,154.70592201382033,153.41300131578947,151.60269552337064,150.46536064494902,149.3325850608753,147.06378604344962
11,128.16912862604002,128.36639644704292,127.98560611510793,119.46507666366907,123.14535259725658,139.95406362410074,164.1899647032374,167.4544486170452,166.36662648976838,165.0250962446593,164.5412439298561,163.39763076231168,161.94070429503034,159.83645413669063,159.06668120503596,157.7408455311973,156.3648512647555,154.86046070826308,153.71318650927486,152.47610219224285,150.59920546558703,148.667593054619,146.74142124789205
12,133.20682613535172,133.95402894033836,133.50294613843758,125.55038593367459,128.07217360338305,145.7902192787177,169.0430109082814,172.2955777876697,171.81087180057867,169.65929245492993,169.1540013357079,167.53788691006233,166.73960886019591,165.0079806322351,163.8485851324282,162.2490076794658,161.44902603471294,159.94286243739566,158.36021302170286,156.53520066777966,155.2228310517529,153.2117556742323,152.71674924874793
