,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,23.65228389611562,7.250898046330244,25.466000000000015,7.8210000000000015,0.1102276321717926,0.03379163408812792
PHY_POWER_m12dBm,25.03018090022068,7.678179471597865,26.870000000000005,8.261000000000001,0.11664909763391024,0.03578290985604535
PHY_POWER_m10dBm,25.994675037932964,7.978332571172109,27.96900000000001,8.603000000000002,0.12114396610033598,0.03718172468510829
PHY_POWER_m7dBm,27.514029448504886,8.46240971234281,29.557000000000002,9.0745,0.1282246708577576,0.039437687673464776
PHY_POWER_m5dBm,28.474420558051282,8.755370790385346,30.77900000000001,9.448,0.13270041782701858,0.04080298525288491
PHY_POWER_m4dBm,29.67889332860197,9.122526431110582,32.122,9.868000000000002,0.1383136677819206,0.04251405455568093
PHY_POWER_m3dBm,30.981025791300244,9.541029386413989,33.343,10.27812704918033,0.1443820448895042,0.04446441968839304
PHY_POWER_m2dBm,32.051350376246404,9.861861138806216,34.565,10.64,0.14937011898721314,0.04595960402437718
PHY_POWER_m1dBm,33.208373021216914,10.22840016313354,36.030000000000015,11.101810737033668,0.15476223532931355,0.04766779968647961
PHY_POWER_0dBm,34.278383658873324,10.556932444337939,37.37400000000001,11.532,0.1597488463266078,0.049198871087796
PHY_POWER_0_7dBm,35.454590999853835,10.917836613932074,38.718,11.920000000000005,0.16523036983227882,0.05088080642351306
PHY_POWER_1_3dBm,36.2709940101108,11.196671176088326,39.93900000000001,12.316000000000003,0.16903508362287084,0.05218026966727997
PHY_POWER_1_8dBm,37.17283073457228,11.458909805672725,41.03800000000001,12.652999999999999,0.17323794737926607,0.05340239025952482
PHY_POWER_2_3dBm,38.318437144729856,11.825937402096574,42.259000000000015,13.049,0.17857686021098781,0.055112862832625856
PHY_POWER_2_8dBm,39.147022875509634,12.071250158646937,43.35900000000001,13.366,0.1824383495942684,0.05625610313934831
PHY_POWER_3dBm,39.89898177158982,12.319172616382149,44.09200000000001,13.616000000000003,0.18594273204500697,0.05741150553509124
