,median__total_mW_mean,median__total_mA_mean,median__total_mW_max,median__total_mA_max,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,88.11976877909576,26.797484303652045,89.80069973427813,27.302500000000002,26.411699734278123,8.0385,0.1152537360147072,0.035108581498605546
PHY_POWER_m12dBm,89.30507530386751,27.17790280624403,91.053,27.691,27.907999999999994,8.511,0.12191478720812515,0.037272928590933965
PHY_POWER_m10dBm,90.61676132940084,27.573579868529517,92.70200000000001,28.224,29.557000000000002,9.048000000000002,0.1280276871455014,0.03913555870321426
PHY_POWER_m7dBm,91.81547886756535,27.92355065556437,94.06564570416299,28.629,30.920645704162972,9.439000000000004,0.13361411577349416,0.04070129605426253
PHY_POWER_m5dBm,93.04408710668275,28.31190115737577,95.511,29.083000000000002,32.365999999999985,9.903000000000002,0.13933984516434206,0.04255774394665092
PHY_POWER_m4dBm,93.97430792455762,28.621104691765698,96.85499999999999,29.479000000000003,33.70999999999998,10.289000000000005,0.1436749883835597,0.04395213348121295
PHY_POWER_m3dBm,95.90407938324333,29.19717595271031,98.2957037201063,29.911573516386184,35.150703720106286,10.721573516386186,0.15266837521495,0.046636820141285194
PHY_POWER_m2dBm,96.69479426498602,29.444466265540164,99.41999999999999,30.2875,36.27499999999998,11.1025,0.15635337364978652,0.04781257821713352
PHY_POWER_m1dBm,97.91892175168627,29.805963177203708,100.885,30.72167493356953,37.739999999999995,11.531674933569533,0.16205822122087188,0.04947397424222026
PHY_POWER_0dBm,98.66785268319768,30.05289248618186,102.45138888888889,31.186500000000002,39.306388888888875,11.996500000000003,0.16554849233394076,0.050624748229291694
PHY_POWER_0_7dBm,99.70983678550483,30.368946877411133,103.573,31.526,40.42799999999998,12.336000000000002,0.1704044902097667,0.052097668448570035
PHY_POWER_1_3dBm,100.64932652531797,30.65314778941368,104.794,31.922,41.64899999999999,12.732000000000003,0.17478282973605253,0.053422140695254416
PHY_POWER_1_8dBm,101.66381440560515,30.967171034508837,105.893,32.25743489813995,42.74799999999999,13.077434898139947,0.17951068592965255,0.05493219846524952
PHY_POWER_2_3dBm,102.33533961170134,31.18229210047062,107.114,32.63,43.968999999999994,13.440000000000005,0.18264022021635257,0.05588813191796926
PHY_POWER_2_8dBm,103.20939090066778,31.447259594712584,108.03049999999999,32.9255,44.885499999999986,13.740499999999997,0.18671359445803826,0.057146271630157064
PHY_POWER_3dBm,103.999329191844,31.681271412753183,108.824,33.158,45.67899999999999,13.968000000000004,0.19039497371852004,0.058213544057329265
