,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.429288962247952,7.473730799496754,26.016,7.972999999999999,0.1138487382350138,
PHY_POWER_m12dBm,25.70710119082888,7.878010708736669,27.54200000000001,8.431999999999999,0.1197760192344545,0.0367141909196633
PHY_POWER_m10dBm,26.967487348045807,8.263317806167466,29.069000000000003,8.892,0.1256776000598421,0.0385017207862486
PHY_POWER_m7dBm,28.246489160600003,8.657310779898111,30.57909477413639,9.355,0.1316381805247347,0.040337865374974
PHY_POWER_m5dBm,29.460696553085377,9.034413111021925,32.0,9.785999999999998,0.1372967971059913,0.042087980722542
PHY_POWER_m4dBm,30.65020671592825,9.405008123514396,33.45084410983172,10.235,0.1428178553063989,
PHY_POWER_m3dBm,31.875576158311645,9.766665100486415,34.80999999999999,10.670000000000002,0.1485509517590124,0.0455159583307006
PHY_POWER_m2dBm,33.02010975841,10.110360853450311,36.20307838795394,11.094999999999995,0.1538500815316917,0.0471176966323
PHY_POWER_m1dBm,34.1398914573125,10.467083222111311,37.496,11.505,0.1591034258877462,0.0487801433631492
PHY_POWER_0dBm,35.19699331384577,10.80235368498051,38.839,11.901000000000002,0.1640298776047073,0.0503426169670316
PHY_POWER_0_7dBm,36.23494669365692,11.107490565844987,40.06099999999999,12.274500000000003,0.1688670909522133,0.0517646579003176
PHY_POWER_1_3dBm,37.29488816236815,11.435379749301564,41.160999999999994,12.634,0.1738067762210815,
PHY_POWER_1_8dBm,38.232385530808,11.737981261762332,42.25999999999999,12.966,0.178175830623789,
PHY_POWER_2_3dBm,39.16375061613333,12.004391133283914,43.358999999999995,13.308000000000009,0.1825163065158339,0.0559445174976636
PHY_POWER_2_8dBm,39.981966434448346,12.2534017984359,44.336,13.598499999999998,0.1863294686043027,0.0571049913075409
PHY_POWER_3dBm,40.79227437407586,12.510510692148667,45.31299999999999,13.889000000000005,0.190105777306982,
