,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.730768779095765,7.533484303652046,26.411699734278123,8.0385,0.1152537360147072,0.035108581498605546
PHY_POWER_m12dBm,26.160075303867494,7.997902806244032,27.907999999999994,8.511,0.12191478720812515,0.037272928590933965
PHY_POWER_m10dBm,27.471761329400834,8.397579868529519,29.557000000000002,9.048000000000002,0.1280276871455014,0.03913555870321426
PHY_POWER_m7dBm,28.670478867565333,8.733550655564375,30.920645704162972,9.439000000000004,0.13361411577349416,0.04070129605426253
PHY_POWER_m5dBm,29.89908710668274,9.131901157375772,32.365999999999985,9.903000000000002,0.13933984516434206,0.04255774394665092
PHY_POWER_m4dBm,30.829307924557618,9.431104691765702,33.70999999999998,10.289000000000005,0.1436749883835597,0.04395213348121295
PHY_POWER_m3dBm,32.75907938324332,10.007175952710313,35.150703720106286,10.721573516386186,0.15266837521495,0.046636820141285194
PHY_POWER_m2dBm,33.549794264986005,10.259466265540162,36.27499999999998,11.1025,0.15635337364978652,0.04781257821713352
PHY_POWER_m1dBm,34.77392175168626,10.615963177203712,37.739999999999995,11.531674933569533,0.16205822122087188,0.04947397424222026
PHY_POWER_0dBm,35.52285268319767,10.862892486181861,39.306388888888875,11.996500000000003,0.16554849233394076,0.050624748229291694
PHY_POWER_0_7dBm,36.56483678550482,11.178946877411136,40.42799999999998,12.336000000000002,0.1704044902097667,0.052097668448570035
PHY_POWER_1_3dBm,37.50432652531797,11.463147789413686,41.64899999999999,12.732000000000003,0.17478282973605253,0.053422140695254416
PHY_POWER_1_8dBm,38.51881440560515,11.787171034508841,42.74799999999999,13.077434898139947,0.17951068592965255,0.05493219846524952
PHY_POWER_2_3dBm,39.190339611701326,11.992292100470621,43.968999999999994,13.440000000000005,0.18264022021635257,0.05588813191796926
PHY_POWER_2_8dBm,40.064390900667775,12.262259594712582,44.885499999999986,13.740499999999997,0.18671359445803826,0.057146271630157064
PHY_POWER_3dBm,40.854329191843995,12.491271412753186,45.67899999999999,13.968000000000004,0.19039497371852004,0.058213544057329265
