,x,y
m3-2,-35.1341015597198,-231.049013117728
m3-11,-141.214096103968,-105.366732052546
m3-13,-196.388802370008,-158.350921741191
m3-14,-59.1109843917405,-184.409162812817
m3-15,-155.886654170092,-80.1753310636354
m3-16,-264.805860887265,-253.19182084212
m3-18,1.38194455790139,-99.9696060976511
m3-20,-68.1927056901205,-133.227494296952
m3-21,-79.8194144712193,-85.5558385728591
m3-22,1.26912284035179,-110.440396004453
m3-24,-164.239679869972,-140.382744721435
m3-25,-160.179965560306,-181.570312428345
m3-26,-10.6740135592292,-169.153930894319
m3-27,-181.023892949243,-188.98848928859
m3-28,10.9825314702925,-130.551972380032
m3-30,-37.6760640974083,-294.174270951032
m3-31,-115.941600429829,-130.136672011387
m3-32,-61.9063836207406,-336.166724470973
m3-177,-164.413471883262,-330.459460819619
m3-178,-106.206159061539,-180.351060239446
m3-179,-205.48394192029,-78.8985694462665
m3-181,-111.796745542539,-272.447053909252
m3-182,-154.359715061749,-80.5842914995643
m3-183,-109.70438918254,-85.5606104057871
m3-184,-57.3405034671407,-317.180740458069
m3-185,-42.5098088481381,-231.033204866852
m3-188,-112.217954852943,-203.666594251773
m3-189,-48.1381281974202,-231.549401113183
m3-191,-169.899561138178,-133.254525231763
m3-192,-83.9151172842994,-141.555716321377
m3-193,-71.5148929430221,-116.377038950418
m3-195,-126.031024117677,-302.131124731176
m3-196,-141.377085365548,-147.898504904584
m3-197,-85.1024900722055,-113.954264958665
m3-198,-50.0577159366521,1.94307384709917
m3-199,-166.534841460334,-198.744972600374
m3-200,-107.833886339066,-197.055017996928
m3-201,-145.747969586985,-197.239290293079
m3-202,-159.999579111561,-128.850128054645
m3-203,-51.2759742150043,-266.400091327771
m3-204,-42.5230276960348,-180.553267795111
m3-205,-69.1816821297907,-184.69768353125
m3-207,-111.677562290602,-226.953428108314
m3-208,-130.204796523116,-217.437484025121
m3-209,-119.899675149396,-307.040994260531
m3-210,-151.737048280421,-297.376155925578
m3-211,-111.315182298097,-178.144106250047
m3-212,-148.788644074985,-164.412828126106
m3-214,-134.158466172527,-119.71106092719
m3-215,-175.953623597067,-207.958672975236
m3-216,-86.1704833078539,-124.744432087273
m3-218,-141.970200467922,-273.112527260848
m3-219,-110.606345628175,-307.447202305352
m3-220,-110.787960447674,-223.981766639564
m3-221,-108.199798935785,-121.626290853414
m3-222,-102.119712833323,-189.83826281188
m3-223,-59.2232908422358,-251.235442980695
m3-224,-177.186081904113,-221.467708455588
m3-225,-101.864021525715,-159.260771606479
m3-226,-26.7525580940176,-199.693471419853
m3-227,-107.666957351477,-149.61264659088
m3-228,-8.6620940734923,-202.047570676186
m3-229,-237.238317624605,-228.811074449775
m3-230,-130.401558822461,-191.252392104536
m3-231,-156.97749544965,-194.634196327582
m3-232,-91.0881306602819,-172.49139104276
m3-233,-126.513099656082,-83.054313323541
m3-234,-43.3994700625378,-195.784572310572
m3-235,-42.657629836916,-115.144676438635
m3-236,-84.3865246041843,-95.0202246585223
m3-237,-39.2945058299669,-231.821311256353
m3-238,-132.403787768365,-255.788770260922
m3-239,-27.8103186929041,-135.231754508663
m3-240,-103.37679551373,-202.237019948805
m3-241,-113.361643318987,-206.062888926176
m3-244,-184.664638649515,-186.016961219315
m3-245,-108.78276035402,-171.736616168237
m3-246,-131.82675282791,-214.560079274249
m3-247,-12.2492283571929,-116.754284627528
m3-248,-190.540262929806,-260.672057757857
m3-249,-78.9635795740506,-126.576378569319
m3-250,-51.2521844715161,-243.680591727198
m3-252,-49.453891594022,-150.103713360434
m3-254,-100.231300402341,-61.3249355423924
m3-255,-168.320225723793,-244.87771460075
m3-256,-126.661985575274,-138.251526913347
m3-257,-162.306473251148,-186.97374939607
m3-259,-181.02728542538,-198.707840290507
m3-260,-138.922234976429,-277.86682575784
m3-261,-143.614290990726,-69.9701559363134
m3-264,24.3066203507849,-144.312770312374
m3-265,-71.5744177157879,-167.111034338201
m3-267,-47.1747299499641,-249.068704800086
m3-269,-49.4254229529274,-85.1084834187663
m3-270,-189.617835826595,-158.237303864236
m3-271,-14.1123164275825,-184.931208355441
m3-272,-244.46619507168,-255.638584679281
m3-273,-218.914590070749,-266.667147557197
m3-274,-113.916433300391,-200.779106456897
m3-275,33.6844959292586,-202.876626681791
m3-276,-28.434924791996,-122.09127530325
m3-277,-171.565937944587,-260.745510218288
m3-278,-30.4134492027668,-187.824047379681
m3-279,-204.990417510844,-304.313309134962
m3-280,-118.821952235824,-242.947154735051
m3-282,-106.973709553746,-210.814151351447
m3-283,-128.753825335178,-200.842357171893
m3-284,-181.624280950821,-171.85002148857
m3-285,-192.637893935397,-262.888207570018
m3-286,-177.045201166247,-163.036063853481
m3-288,-201.108101456193,-183.822126179389
m3-289,-21.0169949952396,-230.545546388019
m3-290,-127.434131022839,-135.732783397495
m3-293,-55.7675117226816,-253.169519909876
m3-297,-58.9835947546918,-199.791441958059
m3-298,-196.104978627945,-207.058923579851
m3-299,-91.4629932241454,-104.935776725957
m3-303,-25.5964690212296,-379.276581350446
m3-307,-90.7636642478516,-324.576686122781
m3-309,18.7642018853583,-249.869077074781
m3-310,-210.777295936985,-247.727104085425
m3-311,-46.7598673725512,-235.953277914199
m3-312,-39.1593854711037,-312.125164236556
m3-313,35.6290548599791,-167.003782189992
m3-314,31.2157713690614,-266.46728019562
m3-317,0.0737381527523146,-276.031812521285
m3-318,54.7408265932407,-153.995098227236
m3-321,-153.903715454457,-332.546138190399
m3-322,-80.0839471482066,-271.533003293256
m3-324,9.51463093064853,-244.895680846034
m3-325,-107.379249934992,-288.241532124029
