,x,y
m3-97,-59.0388811402503,92.7630654915737
m3-103,-18.9413623191147,35.2693699153444
m3-105,-26.013111572277,35.195200628107
m3-108,-32.2575466057925,42.8468186183653
m3-109,-72.548163471497,111.804055521411
m3-110,-78.8395981036751,18.0492945850299
m3-111,-25.0753090719143,101.623277054219
m3-112,-58.6403514492286,94.362490891691
m3-113,-64.328658738621,53.7328816308523
m3-114,-19.6349556241607,39.844278848807
m3-115,-33.2265033609311,115.034396957151
m3-116,-82.7554571893538,52.3876868159074
m3-117,-89.9939457130142,74.4375604183811
m3-118,-22.2940433908722,40.2245055526566
m3-119,-86.3843092996036,42.756075596263
m3-120,-32.6156992333489,97.7678751569841
m3-121,-38.9011984221037,100.047221651667
m3-122,-26.9540752204903,52.1574305853766
m3-123,-79.5902615160031,69.5849268926249
m3-124,-40.4187736955976,101.743249874005
m3-125,-27.5871458000053,99.691039472286
m3-127,-19.0890627305794,37.4422542595918
m3-129,-2.67239800753326,48.5907351354913
m3-130,-90.9094753066038,59.495292029963
m3-131,-96.0952958777173,132.395604759052
m3-137,16.5127714537204,93.9410952185995
