,x,y
m3-2,-105.685790388121,-278.743571598447
m3-11,50.6449133397426,-72.0449598096009
m3-13,70.8037467430802,-69.9439521141106
m3-14,140.177742562549,-3.83357567378434
m3-15,-121.278759801853,-278.446410983629
m3-16,-167.025711560458,-282.084175548322
m3-18,-113.818722374878,-166.774736087532
m3-20,99.8601697445213,-185.712185708054
m3-21,-27.9333544183339,-198.472886311658
m3-22,55.6569151875342,-90.2235185155499
m3-24,129.224924145076,-228.993441046217
m3-25,-125.359300890855,-233.3473866562
m3-26,114.09876984142,-188.62225181697
m3-27,-41.779665626481,-112.30787508794
m3-28,107.271629177097,-351.770111860687
m3-30,-98.3365024819281,-96.2503538240918
m3-31,11.4575285568762,-178.672340625467
m3-32,-207.135251455192,-328.552453048921
m3-177,63.6554925965919,-252.776140939871
m3-178,59.5014117158283,-89.0322284830879
m3-179,-30.5694287077483,-81.2621418248581
m3-181,57.7659964110509,-171.590162669046
m3-182,-49.0046371448838,-349.68464443491
m3-183,-10.3385035685793,-278.201761814261
m3-184,8.76844445802214,-136.352645288756
m3-185,111.473825135413,-156.528063710079
m3-188,44.2368182158659,-200.145009753712
m3-189,35.0504179596859,-101.236249006808
m3-191,74.1724383659536,-293.126042295236
m3-192,31.3715985607147,-228.398551762377
m3-193,50.2411505005323,-147.052520754931
m3-195,21.1050113607165,-229.117838381869
m3-196,26.0414223324762,-190.54410131779
m3-197,-0.522527335871712,-101.295414745847
m3-198,-33.5942239350599,-281.719902685566
m3-199,-27.56054054563,-284.552743827909
m3-200,-8.1894496796727,-216.874709919822
m3-201,11.33736374547,-120.122111443078
m3-202,-68.0887340741545,-216.735047251712
m3-203,-114.632977370892,-157.651657394309
m3-204,-73.3383067353993,-235.623343429604
m3-205,58.519902291113,-153.136774027075
m3-207,39.8475833023404,-96.4385766101203
m3-208,52.092933852152,-189.786718810584
m3-209,-9.70064122708054,-156.276754274019
m3-210,-105.299093481161,-146.037900133407
m3-211,-78.8681152762057,-53.1204894707356
m3-212,-122.029427335804,-179.588008405352
m3-214,43.194611876167,-268.219363141938
m3-215,108.451496005849,-194.185429973179
m3-216,-19.3254225742875,-145.572300255493
m3-218,-14.7451416999723,-107.53661190659
m3-219,37.8202708724132,-159.942529305471
m3-220,-60.9531127852106,-144.28019905969
m3-221,-48.4202536447178,-50.5412041894256
m3-222,68.6360526216768,-125.178422128766
m3-223,-65.6319992613658,-116.45271116516
m3-224,-10.8281734919225,-77.2961979000845
m3-225,7.07529438906304,-139.070867215976
m3-226,-8.86652740473257,-172.173916163711
m3-227,78.9507709422534,-229.806986164682
m3-228,-8.0314072301963,-196.966839255915
m3-229,65.2646693514745,-115.773511120603
m3-230,-17.9027246939348,-223.105219385566
m3-231,-39.0064430927342,-221.657909221268
m3-232,-42.3540948805786,-303.879212456393
m3-233,62.8516259447523,-162.496438235143
m3-234,19.2846237805793,-82.6404951030813
m3-235,-57.7074561585644,-154.813248305863
m3-236,-11.7633775979319,-227.402286403692
m3-237,13.5679487966665,-176.35393680939
m3-238,-34.5394372882373,-92.8080191241475
m3-239,32.1905252294969,-165.695758935599
m3-240,-14.3486083230769,-47.9031052590215
m3-241,-9.34332754108508,-67.9579383724805
m3-244,12.7537915712331,-72.8856532042657
m3-245,37.7821935631764,-247.681398817374
m3-246,-58.0573831913734,-18.0185593160711
m3-247,77.5345897224498,-236.720230153269
m3-248,9.09587358201569,-162.881273701676
m3-249,82.2331206338974,-288.274806109708
m3-250,-9.96338730921661,-198.507383080585
m3-252,100.741242545676,-232.83473561935
m3-254,99.4918657349705,-80.9750706573013
m3-255,-81.4898043008335,-128.124865226292
m3-256,-39.0112384919512,-200.20768062258
m3-257,-6.04781716279082,-193.853545401797
m3-259,-121.029088333823,-224.078803277064
m3-260,26.2736153690527,-119.066521460798
m3-261,-7.80960586276725,-272.67242878236
m3-264,17.6303906526724,-132.976461777238
m3-265,4.74441115653066,-55.7463883985053
m3-267,-103.323945126232,-182.426168117891
m3-269,117.164150064745,-240.888357323731
m3-270,-39.7857024718698,-126.795517230234
m3-271,55.0527745306486,-300.041906370315
m3-272,83.7137420957123,-162.49294076239
m3-273,-68.1364482178219,-254.307439278617
m3-274,97.2412391354637,-45.5167868981832
m3-275,-14.6887640971787,-173.231413411019
m3-276,-105.813581962288,-92.8386626964861
m3-277,-20.8355066078465,-210.959648884196
m3-278,-49.4956531966226,-130.717515076686
m3-279,13.2299989335284,-187.183427772494
m3-280,-77.8850427350808,-206.803994681674
m3-282,-92.7725793156838,-125.549053166562
m3-283,40.6820535254316,-280.80759848425
m3-284,-26.7995748949674,-208.708374256674
m3-285,38.831170760667,-350.090120557402
m3-286,-60.9521744336691,-115.725594912747
m3-288,-34.5570018040836,-364.452224230944
m3-289,-64.2346914549084,-272.584709756537
m3-290,-26.4707609347646,-286.315350305721
m3-293,28.4506699559835,-259.323651372488
m3-297,-57.6472083975811,-168.801626519308
m3-298,88.0065560428832,-215.623311561055
m3-299,-62.0736911464042,-120.191212797932
