,grenoble_m3-2,grenoble_m3-11,grenoble_m3-13,grenoble_m3-14,grenoble_m3-15,grenoble_m3-16,grenoble_m3-18,grenoble_m3-20,grenoble_m3-21,grenoble_m3-22,grenoble_m3-24,grenoble_m3-25,grenoble_m3-26,grenoble_m3-27,grenoble_m3-28,grenoble_m3-30,grenoble_m3-31,grenoble_m3-32,grenoble_m3-177,grenoble_m3-178,grenoble_m3-179,grenoble_m3-181,grenoble_m3-182,grenoble_m3-183,grenoble_m3-184,grenoble_m3-185,grenoble_m3-188,grenoble_m3-189,grenoble_m3-191,grenoble_m3-192,grenoble_m3-193,grenoble_m3-195,grenoble_m3-196,grenoble_m3-197,grenoble_m3-198,grenoble_m3-199,grenoble_m3-200,grenoble_m3-201,grenoble_m3-202,grenoble_m3-203,grenoble_m3-204,grenoble_m3-205,grenoble_m3-207,grenoble_m3-208,grenoble_m3-209,grenoble_m3-210,grenoble_m3-211,grenoble_m3-212,grenoble_m3-214,grenoble_m3-215,grenoble_m3-216,grenoble_m3-218,grenoble_m3-219,grenoble_m3-220,grenoble_m3-221,grenoble_m3-222,grenoble_m3-223,grenoble_m3-224,grenoble_m3-225,grenoble_m3-226,grenoble_m3-227,grenoble_m3-228,grenoble_m3-229,grenoble_m3-230,grenoble_m3-231,grenoble_m3-232,grenoble_m3-233,grenoble_m3-234,grenoble_m3-235,grenoble_m3-236,grenoble_m3-237,grenoble_m3-238,grenoble_m3-239,grenoble_m3-240,grenoble_m3-241,grenoble_m3-244,grenoble_m3-245,grenoble_m3-246,grenoble_m3-247,grenoble_m3-248,grenoble_m3-249,grenoble_m3-250,grenoble_m3-252,grenoble_m3-254,grenoble_m3-255,grenoble_m3-256,grenoble_m3-257,grenoble_m3-259,grenoble_m3-260,grenoble_m3-261,grenoble_m3-264,grenoble_m3-265,grenoble_m3-267,grenoble_m3-269,grenoble_m3-270,grenoble_m3-271,grenoble_m3-272,grenoble_m3-273,grenoble_m3-274,grenoble_m3-275,grenoble_m3-276,grenoble_m3-277,grenoble_m3-278,grenoble_m3-279,grenoble_m3-280,grenoble_m3-282,grenoble_m3-283,grenoble_m3-284,grenoble_m3-285,grenoble_m3-286,grenoble_m3-288,grenoble_m3-289,grenoble_m3-290,grenoble_m3-293,grenoble_m3-297,grenoble_m3-298,grenoble_m3-299,grenoble_m3-303,grenoble_m3-307,grenoble_m3-309,grenoble_m3-310,grenoble_m3-311,grenoble_m3-312,grenoble_m3-313,grenoble_m3-314,grenoble_m3-317,grenoble_m3-318,grenoble_m3-321,grenoble_m3-322,grenoble_m3-324,grenoble_m3-325
grenoble_m3-2,0.0,49.36,14.62,7.65,8.07,10.97,9.41,10.09,10.68,23.49,8.899999999999999,8.309999999999999,12.57,9.62,9.18,8.059999999999999,7.76,7.619999999999999,10.41,7.68,29.19,9.489999999999998,7.59,8.67,37.79,14.63,10.75,34.79,23.99,20.29,34.19,7.08,27.79,8.5,17.19,11.65,26.69,7.44,15.989999999999998,8.26,16.99,10.53,17.79,13.05,14.57,8.18,22.29,29.69,27.49,21.39,14.829999999999998,7.99,7.1,8.93,16.09,12.97,18.39,7.44,21.29,9.75,16.39,7.539999999999999,14.829999999999998,7.17,22.09,8.17,18.39,9.63,11.95,7.02,21.99,10.57,19.59,7.959999999999999,15.989999999999998,16.69,8.379999999999999,12.3,9.81,21.29,13.27,10.32,8.56,19.342,44.09,9.841,33.29,11.98,8.559,7.6,8.24,8.889,9.9,13.37,53.921,8.567,7.281,10.168,9.199,8.241,7.286,9.068,6.646,11.621,8.239,9.52,9.519,8.248,57.034,8.56,7.919,42.782,131.89,5.369,5.298,5.3549999999999995,5.457,5.340999999999999,5.342,5.41,5.335,5.3999999999999995,5.305,5.436999999999999,5.481,5.409,5.348,5.353,5.417,5.417,5.3309999999999995
grenoble_m3-11,49.36,0.0,43.455,25.973,57.713,7.921,51.549,8.24,9.52,8.561,7.926,7.926,7.286,6.967,6.96,9.2,8.242,8.881,13.45,10.72,32.230000000000004,12.53,10.63,11.71,40.83,17.67,13.79,37.83,27.03,23.33,37.23,10.12,30.83,11.54,20.23,14.69,29.73,10.48,19.03,11.3,20.03,13.57,20.83,16.09,17.61,11.22,25.33,32.730000000000004,30.53,24.43,17.869999999999997,11.03,10.14,11.97,19.13,16.009999999999998,21.43,10.48,24.33,12.79,19.43,10.58,17.869999999999997,10.21,25.13,11.21,21.43,12.67,14.989999999999998,10.06,25.03,13.61,22.63,11.0,19.03,19.73,11.42,15.34,12.85,24.33,16.310000000000002,13.36,11.26,21.63,47.13,10.85,36.33,15.02,20.23,12.89,53.03,27.53,12.94,16.41,31.53,11.47,9.018,11.47,11.36,14.1,6.021,10.84,7.926,12.08,7.92,7.926,12.94,48.806,235.93,9.2,6.966,7.6,134.93,8.408999999999999,8.338,8.395,8.497,8.381,8.382,8.45,8.375,8.44,8.344999999999999,8.477,8.520999999999999,8.449,8.388,8.392999999999999,8.456999999999999,8.456999999999999,8.371
grenoble_m3-13,14.62,43.455,0.0,8.56,10.48,7.287,16.015,7.601,7.602,7.606,8.248,6.326,8.241,8.882,45.125,10.259,7.921,7.6,15.25,12.52,34.03,14.33,12.43,13.51,42.629999999999995,19.47,15.59,39.629999999999995,28.83,25.130000000000003,39.03,11.92,32.629999999999995,13.34,22.03,16.490000000000002,31.53,12.28,20.83,13.1,21.83,15.37,22.630000000000003,17.89,19.41,13.02,27.13,34.53,32.33,26.23,19.67,12.83,11.94,13.77,20.93,17.810000000000002,23.23,12.28,26.13,14.59,21.23,12.38,19.67,12.01,26.93,13.01,23.23,14.47,16.79,11.86,26.83,15.41,24.43,12.8,20.83,21.53,13.22,17.14,14.65,26.13,18.11,15.16,13.06,23.43,48.93000000000001,12.65,38.129999999999995,16.82,22.03,14.69,54.83,29.33,14.74,18.21,33.33,13.27,13.06,13.27,13.16,15.9,13.44,12.64,14.29,13.88,31.83,22.03,14.74,28.344,237.73,61.53,25.83,10.347,136.73,10.209,10.138,10.195,10.297,10.181,10.182,10.25,10.175,10.24,10.145,10.277,10.321,10.249,10.188,10.193,10.257,10.257,10.171
grenoble_m3-14,7.65,25.973,8.56,0.0,9.84,10.567,7.92,7.287,8.24,7.281,8.56,7.921,54.992,8.881,8.88,7.786,44.934,6.966,8.28,5.55,27.06,7.359999999999999,5.46,6.539999999999999,35.66,12.5,8.620000000000001,32.66,21.86,18.16,32.06,4.949999999999999,25.659999999999997,6.369999999999999,15.06,9.52,24.56,5.31,13.86,6.13,14.86,8.399999999999999,15.66,10.92,12.44,6.05,20.159999999999997,27.56,25.36,19.26,12.7,5.859999999999999,4.97,6.8,13.96,10.84,16.259999999999998,5.31,19.159999999999997,7.62,14.26,5.41,12.7,5.039999999999999,19.96,6.039999999999999,16.259999999999998,7.5,9.82,4.89,19.86,8.44,17.46,5.83,13.86,14.56,6.25,10.17,7.68,19.159999999999997,11.14,8.19,6.09,16.46,41.96,5.68,31.159999999999997,9.85,15.06,7.72,47.86,22.36,7.77,11.24,26.36,6.3,6.09,6.3,6.1899999999999995,8.93,6.47,5.67,7.319999999999999,6.91,24.86,15.06,7.77,6.359999999999999,230.76,54.559999999999995,18.86,7.06,129.76,3.239,3.1679999999999997,3.2249999999999996,3.327,3.211,3.2119999999999997,3.28,3.2049999999999996,3.2699999999999996,3.175,3.307,3.351,3.279,3.218,3.223,3.287,3.287,3.2009999999999996
grenoble_m3-15,8.07,57.713,10.48,9.84,0.0,7.287,7.925,6.646,30.26,6.961,6.966,6.966,9.747,7.92,7.606,9.2,8.248,68.043,8.7,5.970000000000001,27.48,7.779999999999999,5.880000000000001,6.96,36.08,12.92,9.04,33.08,22.28,18.58,32.480000000000004,5.37,26.08,6.79,15.48,9.94,24.98,5.73,14.28,6.550000000000001,15.28,8.82,16.080000000000002,11.34,12.86,6.470000000000001,20.58,27.98,25.78,19.68,13.12,6.28,5.390000000000001,7.220000000000001,14.38,11.26,16.68,5.73,19.58,8.040000000000001,14.68,5.83,13.12,5.46,20.38,6.46,16.68,7.92,10.24,5.3100000000000005,20.28,8.86,17.88,6.25,14.28,14.98,6.67,10.59,8.1,19.58,11.56,8.61,6.51,16.88,42.38,6.1,31.58,10.27,15.48,8.14,48.28,22.78,8.19,11.66,26.78,6.720000000000001,6.51,6.720000000000001,6.61,9.35,6.890000000000001,6.09,7.74,7.33,25.28,15.48,8.19,6.78,231.18,54.98,19.28,7.48,130.18,3.659,3.588,3.645,3.747,3.631,3.632,3.7,3.625,3.69,3.595,3.727,3.771,3.699,3.638,3.643,3.707,3.707,3.621
grenoble_m3-16,10.97,7.921,7.287,10.567,7.287,0.0,6.64,15.545,6.021,12.694,23.697,39.059,7.601,29.725,7.601,8.394,23.449,6.327,11.6,8.870000000000001,30.380000000000003,10.68,8.780000000000001,9.86,38.98,15.82,11.94,35.98,25.18,21.48,35.38,8.27,28.979999999999997,9.69,18.380000000000003,12.84,27.880000000000003,8.629999999999999,17.18,9.45,18.18,11.72,18.98,14.24,15.76,9.37,23.479999999999997,30.880000000000003,28.68,22.58,16.02,9.18,8.29,10.12,17.28,14.16,19.58,8.629999999999999,22.479999999999997,10.94,17.58,8.73,16.02,8.36,23.28,9.36,19.58,10.82,13.14,8.21,23.18,11.76,20.78,9.15,17.18,17.880000000000003,9.57,13.49,11.0,22.479999999999997,14.46,11.51,9.41,19.78,45.28,9.0,34.48,13.17,18.380000000000003,11.04,51.18,25.68,11.09,14.56,29.68,9.62,9.41,9.62,9.51,12.25,9.79,8.99,10.64,10.23,28.18,18.380000000000003,11.09,9.68,234.08,57.879999999999995,22.18,13.099,133.08,6.559,6.488,6.545,6.647,6.531,6.532,6.6,6.525,6.59,6.495,6.627,6.671,6.599,6.538,6.543,6.607,6.607,6.521
grenoble_m3-18,9.41,51.549,16.015,7.92,7.925,6.64,0.0,10.17,6.641,7.601,30.928,7.92,9.52,9.201,8.24,7.926,9.522,7.287,10.04,7.31,28.82,9.12,7.22,8.299999999999999,37.42,14.26,10.38,34.42,23.62,19.92,33.82,6.709999999999999,27.42,8.129999999999999,16.82,11.28,26.32,7.069999999999999,15.62,7.89,16.619999999999997,10.16,17.42,12.68,14.2,7.81,21.92,29.32,27.12,21.02,14.46,7.619999999999999,6.7299999999999995,8.559999999999999,15.72,12.6,18.02,7.069999999999999,20.92,9.38,16.02,7.17,14.46,6.799999999999999,21.72,7.799999999999999,18.02,9.26,11.579999999999998,6.6499999999999995,21.62,10.2,19.22,7.59,15.62,16.32,8.01,11.93,9.44,20.92,12.9,9.95,7.85,18.22,43.72,7.44,32.92,11.61,16.82,9.48,49.620000000000005,24.12,9.53,13.0,28.12,8.059999999999999,7.85,8.059999999999999,7.949999999999999,10.69,8.23,7.43,9.079999999999998,8.67,26.62,16.82,9.53,8.12,232.52,56.31999999999999,20.62,8.82,131.52,4.999,4.928,4.984999999999999,5.087,4.970999999999999,4.9719999999999995,5.039999999999999,4.965,5.029999999999999,4.935,5.066999999999999,5.111,5.039,4.978,4.983,5.047,5.047,4.960999999999999
grenoble_m3-20,10.09,8.24,7.601,7.287,6.646,15.545,10.17,0.0,8.881,11.034,8.56,8.561,12.854,13.175,8.562,9.521,7.922,6.641,10.72,7.99,29.5,9.8,7.9,8.98,38.1,14.94,11.06,35.1,24.3,20.6,34.5,7.390000000000001,28.1,8.81,17.5,11.96,27.0,7.75,16.3,8.57,17.3,10.84,18.1,13.36,14.88,8.49,22.6,30.0,27.8,21.7,15.14,8.3,7.41,9.24,16.4,13.28,18.7,7.75,21.6,10.06,16.7,7.85,15.14,7.48,22.4,8.48,18.7,9.94,12.26,7.33,22.3,10.88,19.9,8.27,16.3,17.0,8.690000000000001,12.61,10.12,21.6,13.580000000000002,10.63,8.530000000000001,18.9,44.400000000000006,8.120000000000001,33.6,12.29,17.5,10.16,50.3,24.8,10.21,13.68,28.8,8.74,8.530000000000001,8.74,8.63,11.37,8.91,8.11,9.76,9.35,27.3,17.5,10.21,8.8,233.2,57.0,21.3,9.5,132.2,5.679,5.6080000000000005,5.665,5.767,5.651,5.652,5.720000000000001,5.6450000000000005,5.71,5.615,5.747,5.791,5.719,5.658,5.663,5.727,5.727,5.641
grenoble_m3-21,10.68,9.52,7.602,8.24,30.26,6.021,6.641,8.881,0.0,26.637,9.521,8.89,8.241,12.026,8.561,7.28,7.92,7.92,11.31,8.58,30.09,10.39,8.49,9.57,38.69,15.53,11.65,35.69,24.89,21.19,35.09,7.98,28.69,9.4,18.09,12.55,27.59,8.34,16.89,9.16,17.89,11.43,18.69,13.95,15.47,9.08,23.19,30.59,28.39,22.29,15.73,8.89,8.0,9.83,16.99,13.87,19.29,8.34,22.19,10.65,17.29,8.44,15.73,8.07,22.99,9.07,19.29,10.53,12.85,7.92,22.89,11.47,20.49,8.86,16.89,17.59,9.28,13.2,10.71,22.19,14.170000000000002,11.22,9.12,19.49,44.99,8.71,34.19,12.88,18.09,10.75,50.89,25.39,10.8,14.27,29.39,9.33,9.12,9.33,9.22,11.96,9.5,8.7,10.35,9.94,27.89,18.09,10.8,9.39,233.79,57.59,21.89,10.09,132.79,6.269,6.198,6.255,6.357,6.241,6.242,6.3100000000000005,6.235,6.3,6.205,6.337,6.381,6.309,6.248,6.253,6.317,6.317,6.231
grenoble_m3-22,23.49,8.561,7.606,7.281,6.961,12.694,7.601,11.034,26.637,0.0,6.648,17.466,6.327,7.159,7.287,7.601,8.241,8.88,24.12,21.39,42.900000000000006,23.200000000000003,21.3,22.380000000000003,51.5,28.340000000000003,24.46,48.5,37.7,34.0,47.900000000000006,20.790000000000003,41.5,22.21,30.9,25.36,40.400000000000006,21.15,29.700000000000003,21.97,30.700000000000003,24.24,31.5,26.76,28.28,21.89,36.0,43.400000000000006,41.2,35.1,28.54,21.700000000000003,20.81,22.64,29.8,26.68,32.1,21.15,35.0,23.46,30.1,21.25,28.54,20.880000000000003,35.8,21.880000000000003,32.1,23.340000000000003,25.66,20.73,35.7,24.28,33.3,21.67,29.700000000000003,30.4,22.090000000000003,26.01,23.520000000000003,35.0,26.980000000000004,24.03,21.93,32.3,57.8,21.520000000000003,47.0,25.69,30.9,23.56,63.7,38.2,23.61,27.08,42.2,22.14,21.93,22.14,22.03,24.770000000000003,22.31,21.51,23.16,22.75,40.7,30.9,23.61,22.200000000000003,246.6,70.4,34.7,22.9,145.6,19.079,19.008000000000003,19.065,19.167,19.051,19.052000000000003,19.12,19.045,19.110000000000003,19.015,19.147,19.191000000000003,19.119,19.058,19.063,19.127,19.127,19.041
